org;dest;sku;volume
SUP_2_in;SUP_2_out;32;2000,000000
SUP_2_in;SUP_2_out;33;2000,000000
SUP_2_in;SUP_2_out;34;2000,000000
SUP_2_in;SUP_2_out;35;2000,000000
SUP_2_in;SUP_2_out;36;2000,000000
SUP_2_in;SUP_2_out;37;2000,000000
SUP_2_in;SUP_2_out;38;2000,000000
SUP_2_in;SUP_2_out;39;2000,000000
SUP_2_in;SUP_2_out;40;2000,000000
SUP_2_in;SUP_2_out;41;2000,000000
SUP_2_in;SUP_2_out;42;2000,000000
SUP_2_in;SUP_2_out;43;2000,000000
SUP_2_in;SUP_2_out;44;2000,000000
SUP_2_in;SUP_2_out;45;2000,000000
SUP_2_in;SUP_2_out;46;2000,000000
SUP_2_in;SUP_2_out;47;2000,000000
SUP_2_in;SUP_2_out;48;2000,000000
SUP_2_in;SUP_2_out;49;2000,000000
SUP_3_in;SUP_3_out;0;2000,000000
SUP_3_in;SUP_3_out;1;2000,000000
SUP_3_in;SUP_3_out;2;2000,000000
SUP_3_in;SUP_3_out;3;2000,000000
SUP_3_in;SUP_3_out;4;2000,000000
SUP_3_in;SUP_3_out;5;2000,000000
SUP_3_in;SUP_3_out;6;2000,000000
SUP_3_in;SUP_3_out;7;2000,000000
SUP_3_in;SUP_3_out;8;2000,000000
SUP_3_in;SUP_3_out;9;2000,000000
SUP_3_in;SUP_3_out;10;2000,000000
SUP_3_in;SUP_3_out;11;2000,000000
SUP_3_in;SUP_3_out;12;2000,000000
SUP_3_in;SUP_3_out;13;2000,000000
SUP_3_in;SUP_3_out;14;2000,000000
SUP_3_in;SUP_3_out;15;2000,000000
SUP_3_in;SUP_3_out;16;2000,000000
SUP_3_in;SUP_3_out;17;2000,000000
SUP_3_in;SUP_3_out;18;2000,000000
SUP_3_in;SUP_3_out;19;2000,000000
SUP_3_in;SUP_3_out;20;2000,000000
SUP_3_in;SUP_3_out;21;2000,000000
SUP_3_in;SUP_3_out;22;2000,000000
